year,title,abstract,winner,university,degree
2003,Adaptive Motion for Quadruped Robots,"Robotic soccer is a complex task that requires multiple autonomous agents to collaborate in an adversarial environment to achieve specific objectives. The Sony quadruped robots are fully autonomous with onboard computation, visual perception, and sophisticated head, leg, and tail motions. The robotic soccer task requires a large suite of different motions, including straight walk, turns, kicks, and handling of obstacles (walls and other robots). The goal of this research is to implement an algorithm to evaluate the effects of different kick motions and to select an optimal strategy in a play situation. Additionally, I will look at learning algorithms that would enable the Sony AIBO robot to adapt its gait over time and optimize the velocity and stability of its motion on a given surface.",,Carnegie Mellon,Computer Science
2003,Real Time Global Illumination of Deformable Objects,"I present a data-driven method for the real time rendering of deformable objects that accounts for global illumination effects on diffuse surfaces in low frequency lighting conditions. The approach is viable in situations where the space of potential object deformations is known beforehand, so that model appearance information can be pre-computed for a representative sampling of deformation states of the model. Data reduction, primarily via principal component analysis is performed on the pre-computed appearance data to determine a low rank approximation to the complete appearance space. Runtime computation of appearance data for an arbitrary point in appearance space can then be performed in real time in software or on programmable graphics hardware by taking a linear combination of a small number of basis vectors spanning the reduced appearance space.",Alumni Award for Undergraduate Excellence,Carnegie Mellon,Computer Science
2003,Pervasive Computing: Supporting Group Activities,Collaborative services need to balance user privacy and system effectiveness. I will explore the tension between these conflicting goals in the context of a group scheduler. My system will allow useful information (mutually enjoyed activities) to be extracted while revealing little personal information (preferences for all activities and people). Furthermore I will investigate possible attacks allowing reconstruction of sensitive data as well as potential countermeasures.,,Carnegie Mellon,Computer Science
2003,Scaling Properties of the Internet Graph,"As the Internet grows in size, it becomes crucial to understand how the speeds of links in the network must improve in order to sustain the pressure of new end-nodes being added each day. Although the speeds of links in the core and at the edges roughly improve according to Moore's law, this improvement alone might not be enough. Indeed, the structure of the Internet graph and routing in the network might necessitate much faster improvements in the speeds of key links in the network. In this paper, using a combination of analysis and extensive simulations, we show that the worst congestion in the Internet in fact scales poorly with the network size ($n^{1+\Omega(1)}$, where $n$ is the number of nodes), when shortest path is used. We also show, somewhat surprisingly, that policy-based routing does not exacerbate the maximum congestion when compared to shortest-path routing. Our results show that it is crucial to identify ways to alleviate this congestion to avoid some links from being perpetually congested. To this end, we show that the congestion scaling properties of the Internet graph can be improved dramatically by introducing moderate amounts of redundancy in the graph in terms of the edges between pairs of nodes.",,Carnegie Mellon,Computer Science
2003,An Alignment Algorithm for Example-Based Machine Translation,"In this increasingly integral world, language barriers often prove to be a noteworthy hurdle in human interaction. For this purpose, Example-based Machine Translation (EBMT) has been used extensively in translating a human language to another, due to its efficiency and minimal need of linguistic knowledge. However, the accuracy of the translations by has been hampered by mediocre alignment algorithms that result in limited high-quality mappings of identified phrases. The goal of this research is to significantly improve the quality of phrasal alignments, while conserving the efficiency of EBMT, to ultimately enhance the accuracy of translation.",,Carnegie Mellon,Computer Science
2003,Logic Minimization Using SAT Checkers,"Post-Doc Advisor: Dr. Michael Theobald We investigate new techniques for solving the two-level logic minimization problem: Given a Boolean function, find the smallest OR-of-ANDs expression that represents it. This is a problem of both theoretical and practical interest. It arises in several fields of Computer Science, such as digital design, reliability analysis and automated reasoning. This project explores a new approach that involves the use of SAT checkers: programs that accept as input a Boolean formula f using only ANDs, ORs and NOTs, and determine whether the given formula f is satisfiable or not. To some, this approach might seem counter-intuitive; the SAT problem is NP-complete, and so it may appear inefficient to base our techniques on it. Thus, it is a surprise to learn that the SAT-based approach has shown considerable promise in our work. As a by-product, our research has yielded a number of ideas and observations that can be explored in other contexts, such as hardware verification, software verification, and QBF checking (satisfiability checking for a class of formulae that is 'harder' than what SAT checkers can handle).",Allen Newell Award for Excellence in Undergraduate Research,Carnegie Mellon,Computer Science
2003,The Honeywell Triplex Sensor Voter,"The Honeywell Sensor Voter Project involves formally verifying desired properties of the Triplex Sensor Voter, a real-time flight control device made by Honewell Inc. Honeywell Inc. was interested in verifying certain safety properties of this device. In order to do this, they had previously used random testing and simulation and other traditional verification mechanisms. Although these approaches provide examples of scenarios in which the system's safety properties hold, they do not guarantee that the safety properties hold in a sufficiently comprehensive set of scenarios. In our case study we explore the use of model checking, a formal verification mechanism, to provide this guarantee. Apart from providing such a reliable means of verification, the process of model checking also aided in refining and disambiguating the Triplex Sensor Voter's underlying algorithm. Our case study also demonstrates adapting model checking, a tool built for discrete systems, to verify properties for a real-time system. Although previous work has been done in this area, we are the first to verify these properties using Symbolic Model Verifier and only the model checking structures defined in ""Clark, Grumberg, Peled. Model Checking. MIT Press, Cambridge Massachusetts ©2001.""",,Carnegie Mellon,Computer Science
2003,Generalized Matrix Computation on Graphics Hardware,"The increased versatility of graphics hardware has allowed for general computation to be mapped onto the GPU. The main considerations that must be addressed before widespread adoption of the GPU as another computation processor are the availability of high precision formats and APIs that abstract away the details of the implementation. Recent graphics hardware has support for floating point data throughout the pipeline, so we turn to the second concern of providing an interface to the hardware that hides the specifics of implementing the functionality on graphics hardware, but still maintains performance. We then use this interface to implement non-negative matrix factorization when used for performing feature extraction to demonstrate the strengths of the library when run on current graphics hardware.",,Carnegie Mellon,Computer Science
2003,Adaptive Cloth Simulation,"Digital characters in computer animation are often draped in sheets of polygonal cloth. My current research deals with cloth simulation, the physically based modeling of cloth for realistic animation. Cloth simulation has traditionally been simulated on a static mesh composed of a uniform grid of nodes. Since a coarse mesh cannot generally capture fine wrinkles, realistic cloth simulation uses a fine grid of nodes that is expensive to simulate. However, fine wrinkles are often localized to small portions of a mesh, suggesting an adaptive method to locally refine the simulation as needed. Recent work has produced adaptive methods for simple models of cloth and related simulations. I hope to extend this work for adaptively simulating more realistic models of cloth.",,Carnegie Mellon,Computer Science
2003,Detecting Cheaters in a Distributed Multiplayer Game Environment,"Cheating is currently a major problem in today's multiplayer games, and the most popular cheat used involves having the client software render information which is not in the current game view. In a first person perspective game, this type of cheating would allow a player to see their opponents through walls. Currently, many people are studying how this type of cheating can be detected and prevented in the context of client-server multiplayer games, but no one is studying how this type of cheating can be detected or prevented in a distributed context. We are studying cheating behaviors in the context of a distributed publish-subscribe system. In this system, players create publications which describe where they are and what their actions are. Players also create subscriptions which register their location-based interests for other players in their vicinity. The first type of cheating involves a player who publishes themselves at multiple locations in the game world (i.e. ""cloning""), and the second type of cheating involves a player who subscribes to more information than is currently in their field of view. We believe that both of these types of cheating can be detected by using a machine learning algorithm to classify patterns of behavior based on previous publication and subscription histories.",,Carnegie Mellon,Computer Science
