year,degree,abstract,university,title
2002,Computer Science,Not found,UFPE,
2002,Computer Science,Not found,UFPE,
2002,Computer Science,Not found,UFPE,
2003,Computer Science,Not found,UFPE,
2003,Computer Science,Not found,UFPE,
2004,Computer Science,"This work aims the study of a dynamically reconfigurable architecture for digital systems fast prototipation, based on Leon CPU. Thus, from a previously established platform, an architecture will be studied that considers dynamic reconfiguration of instructions of a Leon system, in a Virtex-II platform. In this proposal, a Virtex-II component will house the Leon CPU core and all its structure of integration in a fixed area of the FPGA, while part of its instruction structure can be dynamically modified, without be necessary to stop the processor (on-the-fly reconfiguration).",UFPE,ARCHITECTURE FOR STATIC AND DYNAMIC RECONFIGURATION OF INSTRUCTIONS IN THE LEON PROCESSOR
2004,Computer Science,Not found,UFPE,
2004,Computer Science,Not found,UFPE,
2004,Computer Science,"UML is a widespread language in industry and academia. However its se- mantics is still informal and has ambiguities. On the other hand, OhCircus is a formal specification language which unifies Z, CSP, the refinement cal- culus and object-oriented theories. In this work, we are concerned with their integration, translating UML class diagrams into OhCircus specifications. In particular, our approach uses, beyond the syntactic mapping, the concept of class model to capture, naturally, associations and global constraints. Finally, we use our own work to prove the refinement of associations as attributes, a much desired result linking analysis to design and implementation.",UFPE,INTEGRATING UML AND FORMAL METHODS
2005,Computer Science,"The Television ́s future is digital and full of interactivity. The televiewer will receive a tv signal with high quality video and audio. Besides, the natural evolution ́s greater contribution, will be the interactivity, that will promote the utopia of social inclusion. This process will provide computing capability to a TV set, allowing people who have never accessed internet and e-mail to do it. In this vanguard scenario, a deep analysis about what interactive services are needed, considering the current communication technology. What are they? How to conceive them? How to design and develop them? This is the main subject of this work. It will also be shown an introduction to the interactive digital television ́s middleware, presenting supporting services and applications, as well as an Application Manager proposal.",UFPE,A Service Development Specification for Interactive Digital Television
2005,Computer Science,Not found,UFPE,
2005,Computer Science,Not found,UFPE,
2005,Computer Science,Not found,UFPE,
